[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 375, col 15)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 329, col 22)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 475, col 23)
[InfoApp]xformMap:1:__ioc___ioc_report_add_overflow:../src/addrtoname.c: (line 279, col 44)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 278, col 19)
[InfoApp]xformMap:1:__ioc___ioc_report_mul_overflow:../src/addrtoname.c: (line 425, col 45)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 311, col 19)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 339, col 19)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 572, col 9)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 574, col 14)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 475, col 22)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 310, col 19)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 147, col 11)
[InfoApp]xformMap:1:__ioc___ioc_report_sub_overflow:../src/addrtoname.c: (line 574, col 14)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 329, col 7)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 574, col 14)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 574, col 14)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 603, col 32)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 276, col 19)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 630, col 32)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 309, col 19)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 400, col 24)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 330, col 7)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 763, col 3)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 572, col 9)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 329, col 36)
[InfoApp]xformMap:1:__ioc___ioc_report_sub_overflow:../src/addrtoname.c: (line 430, col 16)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 147, col 11)
[InfoApp]xformMap:0:__ioc_report_conversion:../src/addrtoname.c: (line 277, col 19)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 503, col 41)
[InfoApp]xformMap:0:__ioc_report_shl_strict:../src/addrtoname.c: (line 329, col 30)
[InfoApp]xformMap:0:__ioc_report_add_overflow:../src/addrtoname.c: (line 701, col 47)
[InfoApp]xformMap:0:__ioc_report_sub_overflow:../src/addrtoname.c: (line 430, col 28)
